Year,Stars,Position,Name,Class,Previous School,New School,,,
2018,2.5,SF,Carson Williams,RS SR,Northern Kentucky,Western Kentucky,,,
2018,2,SF,DeSean Murray,RS N/A,Auburn,Western Kentucky,,,
2017,3,PF,Dwight Coleby,RS N/A,Kansas,Western Kentucky,,,
2017,3,PG,Darius Thompson,RS N/A,Virginia,Western Kentucky,,,
2017,2,SG,Jared Savage,RS N/A,Austin Peay,Western Kentucky,,,
2017,2,PG,Miles Weber,RS SR,Chicago State,Western Kentucky,,,
2021,2,C,Luka Barišić,SR,UTSA,Western Illinois,,,
2021,2,SG,Quinlan Bennett,JR,Lamar,Western Illinois,,,
2021,2,SG,George Dixon,SR,Eastern Illinois,Western Illinois,,,
2021,2,SG,Trenton Massner,JR,Northwestern State,Western Illinois,,,
2020,3,C,Tamell Pearson,JR,UAB,Western Illinois,,,
2020,2,SF,Rod Johnson,RS SR,Chattanooga,Western Illinois,,,
2021,2,PF,Jordan Veening,RS SO,Eastern Washington,Western Colorado,,,
2021,2.7,SG,Nicholas Robinson,RS SR,Valparaiso,Western Carolina,,,
2021,2,PG,Cam Bacote,RS JR,Indiana State,Western Carolina,,,
2021,2,PF,Joe Petrakis,RS SO,Kansas State,Western Carolina,,,
2020,2,PF,Cory Hightower,JR,Presbyterian,Western Carolina,,,
2018,3,SG,Mason Faulkner,RS SR,Northern Kentucky,Western Carolina,,,
2017,2,PG,Jon Brennen,RS SR,Merrimack,Westchester Community College,,,
2018,2,PF,Ross Young,SR,Mount St. Mary's,West Virginia Wesleyan,,,
2017,2,PF,Aaron Ariri,RS N/A,Troy,West Virginia Wesleyan,,,
2017,2,SG,Marcus Larsson,N/A,VMI,West Virginia Wesleyan,,,
2021,2,SG,"Ernest Jenkins, Jr.",RS SR,Morgan State,West Virginia State,,,
2021,2,SG,"Dwaine Jones, Jr.",FR,Coppin State,West Virginia State,,,
2020,2,PF,Breyon Jackson,RS JR,Long Beach State,West Virginia State,,,
2019,2,SG,DeAundra Murphy,RS JR,Marshall,West Virginia State,,,
2021,3,PF,Dimon Carrigan,SR,Florida International,West Virginia,,,
2021,2,PG,Malik Curry,SR,Old Dominion,West Virginia,,,
2021,2,PF,Pauly Paulicap,RS SR,DePaul,West Virginia,,,
2019,2,SF,Gabriel Osabuohien,SR,Arkansas,West Virginia,,,
2021,2,SG,Addison Wallace,RS SO,Texas State,West Texas A&M,,,
2021,2,C,Dalin Williams,JR,Northwestern State,West Texas A&M,,,
2021,2,SG,Larry Wise,RS SO,North Texas,West Texas A&M,,,
2020,2,PF,Ugo Obineke,JR,Kennesaw State,West Texas A&M,,,
2019,2,C,John Brown,RS SR,Texas A&M,West Texas A&M,,,
2017,2,SG,Chris Odionu,N/A,Arizona State,West Los Angeles College,,,
2018,2,PF,Nick Greely,RS SR,Campbell,West Liberty,,,
2018,2,PF,Gerald Blount,RS SR,Saint Joseph's,West Georgia,,,
2017,2,SF,Karlos Odum,RS N/A,North Florida,West Georgia,,,
2017,2,SG,Jack Shaughnessy,RS N/A,Seattle,West Georgia,,,
2017,2,SG,Marquill Smith,N/A,San Francisco,West Georgia,,,
2021,2,SG,LaTrell Tate,RS SO,Alabama State,West Florida,,,
2018,2.3,PF,Alassane Kah,RS N/A,Old Dominion,West Florida,,,
2018,2,SF,Jon Brown,RS JR,North Alabama,West Florida,,,
2021,2,PG,Elijah Allen,FR,Wagner,West Chester,,,
2020,2,SF,Lapri McCray-Pace,RS JR,Morgan State,West Chester,,,
2019,3.5,C,Marcus Littles,JR,George Washington,West Chester,,,
2018,2,SF,Ian Langendoerfer,N/A,Loyola (MD),West Chester,,,
2017,2,SF,Steve Smith,RS N/A,Fairfield,West Chester,,,
2020,2,SG,C.J. Melton,SO,Presbyterian,West Alabama,,,
2019,2,PF,Tyshawn 'Mike' Davis,N/A,Murray State,West Alabama,,,
2018,2,PF,Ricky Dunnaway,RS N/A,Tennessee Tech,West Alabama,,,
2018,2,PG,Tavaras Tolliver,N/A,North Alabama,West Alabama,,,
